index,kind,name,codepoint,ink,light,sig
565,symbol,EditMirrored,U+EB7E,242,252,b098cc66331f0f07
566,symbol,TaskViewExpanded,U+EB91,313,378,41417f7f7f41417f
567,symbol,Certificate,U+EB95,252,312,0f191f0ec3c3c3ff
568,symbol,FastForward,U+EB9D,275,329,67effbfbef672000
569,symbol,Rewind,U+EB9E,235,271,9cde7b7fde9c0000
570,symbol,Photo2,U+EB9F,249,320,c1e1f31f8f01ff00
571,symbol,DictionaryCloud,U+EBC3,325,389,1ffff1f1f7cf7800
572,symbol,VolumeBars,U+EBC5,108,134,c0a0e0e0a0c04080
573,symbol,Project,U+EBC6,327,368,7fff617f7f04fc00
574,symbol,CloudDownload,U+EBD3,193,238,f73131818ff87000
575,symbol,Family,U+EBDA,280,331,4fd9fffed8d87000
576,symbol,LockFeedback,U+EBDB,275,338,fffb01f7b501ff00
577,symbol,DeviceDiscovery,U+EBDE,339,410,e0fefeffe1417f7f
578,symbol,WindDirection,U+EBE6,337,368,fcfc7c7878383030
579,symbol,Bug,U+EBE8,307,365,86878787fefb7b7c
580,symbol,Bug,U+EBE8,307,365,86878787fefb7b7c
581,symbol,TabletMode,U+EBFC,319,397,7f7ff1e1e1e1ffff
582,symbol,NetworkTower,U+EC05,364,443,7c7c38fefefffec6
583,symbol,CityNext,U+EC06,406,492,ffffffffffffc040
584,symbol,CityNext2,U+EC07,446,526,fdffffffff7f3f1c
585,symbol,Courthouse,U+EC08,482,561,fffffffffffe3870
586,symbol,Groceries,U+EC09,312,391,01ffff55ff7bd0c0
587,symbol,Sustainable,U+EC0A,310,400,fc1e3f67cf8ffff0
588,symbol,BuildingEnergy,U+EC0B,501,540,ffffffffffdefefe
589,symbol,ToggleFilled,U+EC11,614,618,fefffffffffe0000
590,symbol,ToggleBorder,U+EC12,192,200,feff0101fffe0000
591,symbol,MiracastLogoSmall,U+EC15,150,219,010101c1c1ffffc0
592,symbol,MiracastLogoLarge,U+EC16,313,384,3ff1797f7f3bff00
593,symbol,Badge,U+EC1B,160,194,030101010303cffe
594,symbol,SignalRoaming,U+EC1E,100,117,000000000f0d0706
595,symbol,InsiderHubApp,U+EC24,520,542,3ffffefcfc78f040
596,symbol,PersonalFolder,U+EC25,335,395,ef7bfbdb9b9b8fff
597,symbol,KeyboardFull,U+EC31,610,715,ffffffffffffff00
598,symbol,Cafe,U+EC32,265,310,ffc38381ffff0000
599,symbol,ThisPC,U+EC4E,284,305,ff7cff01010101ff
600,symbol,MusicNote,U+EC4F,168,207,3e303030f0f07030
601,symbol,Explorer,U+EC50,359,421,cfffff01010fff0f
602,symbol,Explorer,U+EC50,359,421,cfffff01010fff0f
603,symbol,FileExplorerApp,U+EC51,733,762,ffffffffffffff0f
604,symbol,MicOff,U+EC54,284,339,feffc7444444447c
605,symbol,MicSleep,U+EC55,274,332,feffc7444444447c
